,cipher,country,region
52,"['6A', '6B', '6C', '6D', '6E', '6F', '6G', '6H', '6J', '6K', '6L', '6M', '6N', '6P', '6R', '6S', '6T', '6U', '6V', '6W']",Australia,Oceania
53,"['7A', '7B', '7C', '7D', '7E']",New Zealand,Oceania
54,"['8A', '8B', '8C', '8D', '8E']",Argentina,South America
55,"['8F', '8G', '8H', '8J']",Chile,South America
56,"['8L', '8M', '8N', '8P', '8R']",Ecuador,South America
57,"['8X', '8Y', '8Z', '81']",Venezuela,South America
58,82,Bolivia,South America
59,"['9A', '9B', '9C', '9D', '9E', '93', '94', '95', '96', '97', '98', '99']",Brazil,South America
60,"['9F', '9G', '9H', '9J']",Colombia,South America
61,"['9S', '9T', '9U', '9V', '9W']",Uruguay,South America
