,WMI,Manufacturer,marka
111,KL1,GM Daewoo/GM Korea (Chevrolet car),Chevrolet
112,KL2,Daewoo/GM Daewoo (Pontiac),Pontiac
113,KL4,GM Korea (Buick),Buick
114,KL5,GM Daewoo (Suzuki),Suzuki
115,KL6,GM Daewoo (GMC),GMC
116,KL7,GM Daewoo/GM Korea (Chevrolet MPV/SUV (Post-2000)),Chevrolet
117,KL8,GM Daewoo/GM Korea (Chevrolet car (Spark)),Chevrolet
118,KM,Hyundai,Hyundai
119,KMC,Hyundai commercial truck,Hyundai
120,KME,Hyundai commercial truck (semi-tractor),Hyundai
121,KMF,Hyundai van & commercial truck & Bering Truck,Hyundai
122,KMH,Hyundai car,Hyundai
123,KMJ,Hyundai minibus/bus,Hyundai
124,KM8,Hyundai SUV,Hyundai
125,KNA,Kia car,Kia
126,KNC,Kia truck,Kia
127,KND,Kia MPV/SUV & Hyundai Entourage,Hyundai
128,KNE,Kia for Europe export,Kia
129,KNF,"Kia, special vehicles",Kia
130,KNG,Kia minibus/bus,Kia
131,KNJ,Ford Festiva & Aspire made by Kia,Ford
132,KNM,Renault Samsung Motors & Nissan Rogue made by Renault Samsung,Renault
133,KPH,Mitsubishi Precis,Mitsubishi
134,LAL,Sundiro Honda Motorcycle,Honda
135,LA9/LC0,BYD,BYD
136,LBE,Beijing Hyundai,Hyundai
137,LBV,BMW Brilliance,BMW
138,LB2,Geely Motorcycles,Geely
139,LB3,Geely Automobile,Geely
140,LC6,Changzhou Haojue Suzuki Motorcycle Co. Ltd.,Suzuki
141,LDC,"Dongfeng Peugeot Citroen Automobile Co., Ltd. (DPCA)",Citroen
142,LDP,"Voyah, Dongfeng",Dongfeng
143,LET,"Jiangling-Isuzu Motors, China",Isuzu
144,LE4,Beijing Benz & Beijing Benz-Daimler Chrysler Automotive Co.,Chrysler
145,LFV,"FAW-Volkswagen, China",Volkswagen
146,LGA,"Dongfeng Commercial Vehicle Co., Ltd. trucks",Dongfeng
147,LGB,Dongfeng Nissan,Nissan
148,LGB,"Dongfeng Commercial Vehicle Co., Ltd. buses",Dongfeng
149,LGG,Dongfeng Liuzhou Motor,Dongfeng
150,LGJ,Dongfeng Fengshen (Aeolus),Dongfeng
151,LGX,BYD Auto,BYD
152,LHG,Guangzhou Honda,Honda
153,LJD,Dongfeng Yueda Kia,Kia
154,LJN,Zhengzhou Nissan,Nissan
155,LJU,Lotus/Geely,Geely
156,LJX,JMC Ford,Ford
157,LJ1,"JAC, China",JAC
158,LL6,"GAC Mitsubishi Motors Co., Ltd. (formerly Hunan Changfeng)",Mitsubishi
159,LMC,Suzuki Hong Kong (motorcycles),Suzuki
160,LNB,BAIC Motor,BAIC
161,LNP,NAC MG UK Limited & Nanjing Fiat Automobile,Fiat
162,LPA,Changan PSA (DS Automobiles),Changan
163,LPE,BYD Auto,BYD
164,LRB,SAIC General Motors Buick,Buick
165,LRD,"Beijing Foton Daimler Automotive Co., Ltd. Auman trucks",Foton
166,LRE,SAIC General Motors Cadillac,Cadillac
167,LRW,"Tesla, Inc. (Gigafactory Shanghai)",Tesla
168,LSG,SAIC General Motors Chevrolet,Chevrolet
169,LSJ,SAIC MG & SAIC Roewe & IM Motors,MG
170,LSV,"SAIC Volkswagen, China",Volkswagen
171,LTN,Soueast built Chrysler & Dodge vehicles,Dodge
172,LTV,Toyota Tian Jin,Toyota
173,LUC,Honda Automobile (China),Honda
174,LUD,Dongfeng Nissan Diesel Motor Co Ltd.,Nissan
175,LUX,Dongfeng Yulon Motor Co. Ltd.,Dongfeng
176,LVA,Foton Motor,Foton
177,LVB,Foton Motor,Foton
178,LVC,Foton Motor,Foton
179,LVF,Changhe Suzuki,Suzuki
180,LVG,GAC Toyota,Toyota
181,LVH,Dongfeng Honda,Honda
182,LVM,Chery Commercial Vehicle,Chery
183,LVR,Changan Mazda,Changan
184,LVS,Changan Ford & Changan Ford Mazda,Ford
185,"LVT, LVV",Chery Automobile,Chery
186,LVY,Volvo Cars Daqing factory,Volvo
187,LVZ,Dongfeng Sokon Motor Company (DFSK),Dongfeng
188,LYV,Volvo Cars Chengdu factory & Luqiao factory,Volvo
189,LZE,"Isuzu Guangzhou, China",Isuzu
190,LZU,Guangzhou Isuzu Bus,Isuzu
191,LZW,SAIC GM Wuling,Wuling
192,L2C,Chery Jaguar Land Rover,Chery
193,L6T,"Geely, Lynk & Co, Zeekr",Geely
194,MAH,Fiat India Automobiles Pvt. Ltd,Fiat
195,MAJ,Ford India,Ford
196,MAK,Honda Cars India,Honda
197,MAL,Hyundai Motor India,Hyundai
198,MA3,Maruti Suzuki India,Suzuki
199,MA7,Hindustan Motors Ltd & Mitsubishi Motors & Isuzu models made by Hindustan Motors,Mitsubishi
200,MBH,Nissan Pixo made by Maruti Suzuki India Limited,Nissan
201,MBJ,Toyota Kirloskar Motor Pvt. Ltd.,Toyota
202,MBR,Mercedes-Benz India,Mercedes
203,MB8,Suzuki Motorcycle India Limited,Suzuki
204,MC2,Volvo Eicher commercial vehicles limited.,Volvo
205,MDH,Nissan Motor India Pvt Ltd.,Nissan
206,MEE,Renault India Private Limited,Renault
207,MEX,Škoda Auto Volkswagen India Pvt. Ltd. 2015 on,Volkswagen
208,ME4,Honda Motorcycle and Scooter India,Honda
209,MZB,Kia India Pvt. Ltd.,Kia
210,MZ7,MG Motor India Pvt. Ltd.,MG
211,M3G,Isuzu Motors India,Isuzu
212,MHF,Toyota Indonesia (PT Toyota Motor Manufacturing Indonesia),Toyota
213,MHK,PT Astra Daihatsu Motor (includes Toyotas made by Astra Daihatsu),Daihatsu
214,MHL,PT Mercedes-Benz Indonesia,Mercedes
215,MHR,Honda Indonesia (PT Honda Prospect Motor) (car),Honda
216,MHY,PT Suzuki Indomobil Motor,Suzuki
217,MH1,PT Astra Honda Motor (motorcycle),Honda
218,MK2,PT Mitsubishi Motors Krama Yudha Indonesia,Mitsubishi
219,MK3,PT SGMW Motor Indonesia (Wuling),Wuling
220,MLC,"Thai Suzuki Motor Co., Ltd.",Suzuki
221,MLH,Honda Thailand (motorcycle),Honda
222,ML3,Mitsubishi Motors (Thailand),Mitsubishi
223,MMA,Mitsubishi Motors (Thailand),Mitsubishi
224,MMB,Mitsubishi Motors (Thailand),Mitsubishi
225,MMC,Mitsubishi Motors (Thailand),Mitsubishi
226,MMD,Mitsubishi Motors (Thailand),Mitsubishi
227,MMF,BMW Thailand,BMW
228,MML,MG Thailand (SAIC-CP),MG
229,MMM,Chevrolet Thailand,Chevrolet
230,MMR,Subaru Thailand,Subaru
231,MMS,Suzuki Thailand,Suzuki
232,MMT,Mitsubishi Motors (Thailand),Mitsubishi
233,"MM0, MM6, MM7, MM8",Mazda Thailand (Ford-Mazda AutoAlliance Thailand plant),Ford
234,MNA,Ford Thailand (Ford-Mazda AutoAlliance Thailand plant) for Australia/New Zealand export,Ford
235,MNB,Ford Thailand (Ford-Mazda AutoAlliance Thailand plant) for other right-hand drive markets,Ford
236,MNC,Ford Thailand (Ford-Mazda AutoAlliance Thailand plant) for left-hand drive markets,Ford
237,MNT,Nissan Thailand,Nissan
238,MPA,Isuzu Thailand,Isuzu
239,MPB,Ford Thailand (Ford Thailand Manufacturing plant),Ford
240,MP1,Isuzu Thailand,Isuzu
241,MP2,"Mazda BT-50 pickup built by Isuzu Motors (Thailand) Co., Ltd.",Isuzu
242,MP5,Foton Motor Thailand,Foton
243,MRH,Honda Thailand (car),Honda
244,MR0,Toyota Thailand,Toyota
245,MR1,Toyota Thailand,Toyota
246,MR2,Toyota Thailand (Gateway plant),Toyota
247,MS3,"Suzuki Myanmar Motor Co., Ltd.",Suzuki
248,MX3,Hyundai Trans Auto,Hyundai
249,NAA,Iran Khodro (Peugeot Iran),Peugeot
250,NFB,Honda Atlas Cars Pakistan Ltd.,Honda
251,NLA,Honda Turkiye A.S. cars,Honda
